,SSP119_first10_noET_lat,SSP119_last10_noET_lat,SSP245_first10_noET_lat,SSP245_last10_noET_lat,SSP585_first10_noET_lat,SSP585_last10_noET_lat
0,-45.23122116881831,-44.140087140346196,-45.21369970449945,-42.36158734164309,-44.68396089309428,-39.23284246371287
1,-41.65882569981349,-40.63693189349107,-41.473341366419106,-39.184058305104344,-40.99534540602107,-36.36657370409725
2,-35.412646159389425,-34.537159192509534,-35.19309070358054,-33.15176864469311,-34.796568538087115,-30.521154308674397
3,-32.96442857965636,-32.1379518245588,-32.651539889169754,-30.6337219486403,-32.358190795944864,-27.922625602381117
4,-34.060702783740425,-33.253908304434475,-33.74359398893793,-31.66746875606222,-33.536395010446995,-28.90146910340505
5,-32.83314753100609,-32.04520502122401,-32.54235662451339,-30.447309319100924,-32.31061278579807,-27.6760453305767
6,-30.202082147514886,-29.50799219246099,-29.940012690456626,-28.013750784740893,-29.769763681768097,-25.370719571156513
7,-27.686321820897348,-27.08845146041807,-27.504174545503986,-25.63250368932941,-27.313261287936257,-23.179956795372533
8,-23.402498948531075,-22.98830544648783,-23.286944319562593,-21.55945536125006,-23.1315912709226,-19.283299853151988
9,-21.25915634059797,-20.92024977938331,-21.27751457558395,-19.595226422604128,-21.147339257738764,-17.476843468996748
10,-16.162885877979647,-15.940703306108162,-16.219358939799974,-14.781927829907374,-16.104239994731586,-12.772102822488137
11,-11.489588805735764,-11.246457100465307,-11.613310690352193,-10.302793654183176,-11.403587167333853,-8.454462050535824
12,-6.29318826080538,-6.11008267652943,-6.333419731242657,-5.236259459815642,-6.24158521401165,-3.1116454614097506
13,-0.12161420074932039,-0.13744497894197139,-0.3509462230590543,0.5889634464816709,-0.06881961211246335,1.8912071298257729
14,1.2695603357487357,1.2666480214898002,1.029857150352882,1.9722092717850046,1.2533201467543336,3.1271296100562154
15,-0.35467498493841276,-0.45437938640685616,-0.7679073676404187,0.24152972548671414,-0.4010880387966722,1.2464962946611422
16,1.3004840207340749,1.2061151655249773,0.9517205127120292,1.8894949317256646,1.260089048212592,2.9704728941376857
17,5.406598581885817,5.4800294006376475,5.080668912490694,6.170600703809043,5.2932504983579065,7.277329822135528
18,5.873292978214465,5.965679780074595,5.5810343332001935,6.699492410130688,5.7870801961576035,7.892217199014738
19,8.108787914483798,8.176712565167293,7.787156541144384,8.904270981522927,7.903021712812006,10.15791584527068
20,8.114676475319811,8.282235624621137,7.936698916780358,9.09278407955793,7.991575954978941,10.476628162446673
21,9.556174978940419,9.704598099634438,9.432191051048505,10.602179460123239,9.38704792572031,12.03768528024898
22,10.582864278439956,10.713601543370544,10.451929944164931,11.67425756227351,10.370742812270066,13.226773584042007
23,12.782568173305663,12.949967872365278,12.713207284910993,14.021710740169397,12.701508536115625,15.644276872994567
24,13.856777900777729,14.014780879609134,13.759237562268481,15.119632151597784,13.744900052801484,16.77083864511792
25,15.776296855757835,15.981388879934684,15.66969252703575,17.094103279890078,15.663474910083266,18.76628382385485
26,17.029499637689298,17.30837861235841,16.998816054072734,18.42495875062525,16.88787214895069,20.063386188065124
27,18.861232055486994,19.210116789105825,18.909095302191645,20.378729637236006,18.699613542590498,22.002404295921224
28,20.127465776846577,20.54585054083782,20.23923892116096,21.75605921999926,19.96586561281765,23.41690614596621
29,21.673449811969476,22.175457002268217,21.7400981429808,23.579203392126487,21.47833473087735,25.451292206081064
30,23.234713523429093,23.73155955987528,23.245689952883254,25.180219347069226,23.000882035916163,27.047315511340685
31,24.145977098366416,24.666417933840933,24.16532051762516,26.162603841247403,23.940050838023524,28.078587912911985
32,25.112888028184443,25.6562230035683,25.14897744483261,27.11847415529678,24.94947220763305,28.985415888545617
33,26.122198412491002,26.601328529489535,26.15142561261598,27.948786861217116,26.043995185121673,29.67327357582724
34,26.815326939235206,27.275406882050902,26.845825645522837,28.59857914682732,26.74481049504584,30.281078695980284
35,26.942074126508942,27.410668679351943,26.94077497933131,28.627712025762605,26.88444381508276,30.259602900715265
36,27.57819100179711,28.03499640059681,27.554290835076017,29.21108462334098,27.522842136256656,30.807322406309368
37,27.7301526087341,28.167572899347704,27.722083869193227,29.34931426554749,27.66988487412732,30.916505370928235
38,28.15747621000304,28.595053148211377,28.15650712729706,29.79300949112053,28.11017955701419,31.366141115969867
39,28.572897360444642,28.975898871004517,28.545572777546397,30.105176991238636,28.54234457611517,31.611880016772886
40,28.73141200836136,29.150796678068843,28.730924655077615,30.310628680536354,28.716339712321087,31.809924747526566
41,28.86043183978404,29.29914517118891,28.860612951812698,30.437338690412616,28.835214756249798,31.90763820391402
42,29.247878781752036,29.677629003677396,29.23947513381421,30.796875212059774,29.202600976936935,32.2050257859641
43,29.29134565182187,29.714877407411848,29.311254796702883,30.817529556703334,29.27063341650819,32.16783561253186
44,29.34115009651765,29.776104972214114,29.364988681770342,30.874104191500805,29.295519332644346,32.21880519413048
45,29.106061320291076,29.569410341582852,29.165282617594585,30.759638678230488,29.076466261317933,32.225280158178805
46,29.276972522522044,29.726833804627063,29.31690794269832,30.914328465882363,29.223743301611705,32.36800482469124
47,28.87240485897661,29.337242528212016,28.88952909180398,30.47972082955181,28.816687831318006,31.89023631137877
48,29.090442544003963,29.583195626909514,29.100671147381775,30.706833332748545,29.05286488872929,32.129539056471685
49,29.306943423703444,29.848287834347218,29.286691556747144,30.979062104165337,29.292690686533035,32.47861346785703
50,29.447481288314805,29.966778331903413,29.401848350472505,31.077634920502362,29.44178366470436,32.58403738190191
51,29.528409697504344,30.043494229480984,29.4551982462483,31.127825981491696,29.49711827685104,32.687622794840024
52,29.71483895672378,30.301711046706203,29.652490337763766,31.492764906693196,29.641121933178454,33.257228369494385
53,29.854171047681348,30.446800195601952,29.786390133570023,31.54703111779935,29.799937802603722,33.25069861264399
54,29.533190880630173,30.133311912860506,29.463162626083204,31.18768724781728,29.493162855111564,32.87622419102058
55,29.306553066900676,29.954459872391,29.226176001450767,30.987560491336524,29.244151637304014,32.750852034505954
56,28.149997927996253,28.88472620013846,28.07083699511577,29.883859779410102,28.089453581420912,31.717859536754247
57,27.007476673106282,27.792268414655837,26.952124796197722,28.748303751465926,26.915842675532247,30.70340579757999
58,25.47515162334264,26.298830050797676,25.46885330202133,27.2864677727365,25.403128430803463,29.231012839154232
59,22.3640376809376,23.240190370384937,22.415617243887596,24.27672018918679,22.307230134154167,26.262975649957923
60,19.644964746232688,20.54551581968491,19.717494824330856,21.685931422676674,19.565848761778682,23.75857011934403
61,17.434153127553486,18.36472680772897,17.51711856883952,19.378203718644727,17.35518223035632,21.331049917296866
62,14.899393193462572,15.893581904423343,15.001463726693089,16.88152052937778,14.811934379377249,18.808163141949592
63,14.70885195462705,15.687188036694124,14.785390158961718,16.571904971880315,14.545299813286817,18.379041368335834
64,14.002407470271521,14.965261864487786,14.025511374219548,15.771044342468315,13.79280581491264,17.457338844275057
65,12.99420272204776,13.986360638595158,13.059438344296893,14.801672976414807,12.756103143106657,16.514151749953044
66,11.172920707785124,12.272811995671873,11.301785823985483,12.966807423669877,10.943213161495692,14.602842425669223
67,10.094132368465637,11.188903709264196,10.248782769344132,11.855142082411533,9.893346790434066,13.482571109978778
68,7.350395648674237,8.526592637960334,7.511099855088389,9.164285631612586,7.235975250660488,10.812525982320437
69,5.790359746677495,6.9045559825438545,5.928774370717861,7.56557785313629,5.691398054196554,9.153220500310567
70,4.666964986957055,5.822232133305192,4.81700347592033,6.473145223340225,4.643894242644535,7.974228845445452
71,3.4872208167432746,4.689490854825749,3.607672557735782,5.3768146657220655,3.541729748915259,6.807422555880862
72,2.084926230136773,3.3625811831219607,2.2203963021498794,4.074023359625414,2.2225786388859774,5.586249941189408
73,0.4042697077729258,1.693097997978441,0.5289239034082129,2.5617691394364783,0.6032837501862787,4.140522825368748
74,-0.5007866370063425,0.8459687218932004,-0.3869511546599256,1.6830376848636206,-0.24392159721008966,3.4041614506888322
75,-2.628190488023904,-1.3026756458365867,-2.5913395507547534,-0.4306424070176149,-2.3560110336092066,1.2485794729981308
76,-4.327523697711115,-2.9504341148009985,-4.312250266665274,-2.05549718424993,-4.016306036972139,-0.25044882254229606
77,-6.061711241570833,-4.632156658360657,-6.1278153604643535,-3.6975994157397167,-5.7088225662934065,-1.7843796201323698
78,-7.506377208986521,-5.965571988209319,-7.639643952694826,-5.016712241794664,-7.127670232524167,-3.0181819490985617
79,-9.000614828851042,-7.458055295293036,-9.178023994485727,-6.43448883695379,-8.63249167812387,-11.300113763456352
80,-9.879881971629004,-8.264801455856286,-10.151087976829672,-7.116246710835867,-9.542252379654883,-4.833358950292791
81,-12.177445501660088,-10.539652580019094,-12.536681003990054,-9.470915948084325,-11.953753845245672,-6.864161998980762
82,-12.635296845221262,-10.994008511094819,-13.144849399872157,-9.933028798154908,-12.376211641295697,-7.325355539132829
83,-12.713974394763511,-11.035517518182132,-13.32007786374669,-9.935425236911499,-12.406649875301582,-7.431451749196981
84,-13.471918612155662,-11.94873859484926,-14.20146056829293,-10.834719803892767,-13.310682220200306,-8.423141404084049
85,-13.023972408496718,-11.41773577894952,-13.978366792408906,-10.250114057535143,-12.800152333291805,-7.901654347226042
86,-14.186593011102161,-12.870767048193272,-14.919503348932324,-11.42889610514436,-14.06643328368466,-8.696925541317
87,-14.313273910536054,-13.007398468396048,-15.269354444889473,-11.478369143021155,-14.199090087967477,-8.688522017050389
